System,Mass Code,System Stars,Primary Star Type,Primary Star Spectral Class,Primary Star Luminosity,Primary Star Age,Parent Star,Parent Star Type,Parent Star Spectral Class,Parent Star Luminosity,Parent Star Age,Parent Body,Parent Body Type,Parent Landable,Parent Terraformable,Planet Name,Landable,Orbit Type,Type,Rings,RingTypes,Arrival Distance,Terraforming State,Radius,Earth Masses,Surface Gravity,Surface Temperature,Surface Pressure,Volcanism,Atmosphere,Axial Tilt,Rotational Period,Tidally Locked,Orbital Period,Semi-major Axis,Orbital Eccentricity,Orbital Inclination,Arg. of Periapsis,Mean Anomaly,Longitude of Ascending Node,Coord X,Coord Y,Coord Z,Timestamp
Flyoo Prao AA-Q d5-0,D,single,A (Blue-White) Star,A9,Vab,2658,Flyoo Prao AA-Q d5-0,A (Blue-White) Star,A9,Vab,2658,Flyoo Prao AA-Q d5-0,A (Blue-White) Star,,,Flyoo Prao AA-Q d5-0 4,no,planetary,Water world,0,"",1648.4250488281,Not terraformable,7952.432,2.5190761089,1.6203557253,429,14.733107566833,Metallic Magma,Thick Ammonia,0.21862,0.601330633472,no,1649.06314953611,3.30435589988,0.000537,-0.451878,207.119637,,,22349.2,-1064.81,40375.3,2021-03-21 11:42:37
Flyoo Prao AB-N d7-1,D,single,F (White) Star,F0,VI,2824,Flyoo Prao AB-N d7-1,F (White) Star,F0,VI,2824,Flyoo Prao AB-N d7-1,F (White) Star,,,Flyoo Prao AB-N d7-1 4,no,planetary,Water world,0,"",1748,Not terraformable,6858.2775,1.4968060255,1.2945071459,329,9.525842585739,Minor Silicate Vapour Geysers,Thick Ammonia,0.143736,1.78899485412,no,1905.69011977431,3.502766211028,0.00019,-0.053353,52.474059,,,22176.8,-815.406,40539.7,2022-08-04 01:28:45
Flyoo Prao AC-B d1-0,D,multiple,F (White) Star,F3,VI,2526,Flyoo Prao AC-B d1-0 C,K (Yellow-Orange) Star,K6,Va,2526,Flyoo Prao AC-B d1-0 C,K (Yellow-Orange) Star,,,Flyoo Prao AC-B d1-0 C 4,no,planetary,Water world,0,"",41590.1015625,Not terraformable,5515.1855,0.7212889791,0.9646240473,280,4.80974149704,Minor Rocky Magma,Carbon dioxide,0.048939,1.95349733015,no,1602.92742980845,2.24316017913,0.002632,1.226537,359.453284,,,21705.7,-104.938,39982.2,2020-12-23 17:44:49
Flyoo Prao AC-B d1-11,D,single,F (White) Star,F3,Vb,2266,Flyoo Prao AC-B d1-11,F (White) Star,F3,Vb,2266,Flyoo Prao AC-B d1-11,F (White) Star,,,Flyoo Prao AC-B d1-11 5,no,planetary,Water world,0,"",1295.20703125,Candidate for terraforming,5150.9265,0.5766599774,0.8841341138,305,0.841017007828,No volcanism,Nitrogen,0.256789,0.43115720816,no,1299.58711288588,2.592930791033,0.002732,-1.032807,357.458623,,,21720.5,-68.4062,39986.7,2020-12-23 18:33:57
Flyoo Prao AC-B d1-3,D,single,A (Blue-White) Star,A5,VI,1352,Flyoo Prao AC-B d1-3,A (Blue-White) Star,A5,VI,1352,Flyoo Prao AC-B d1-3,A (Blue-White) Star,,,Flyoo Prao AC-B d1-3 4,no,planetary,Water world,0,"",2063.0759277344,Not terraformable,6126.406,1.022660017,1.1083801985,437,29.62306022644,Major Rocky Magma,Thick Ammonia,0.389537,99.843319040185,yes,99.833631129178,0.105758006588,0.176092,9.388832,163.582716,,,21720.1,-63.0938,39987.3,2020-12-23 17:55:21
Flyoo Prao AC-C d13-0,D,single,F (White) Star,F5,Vb,1888,Flyoo Prao AC-C d13-0,F (White) Star,F5,Vb,1888,Flyoo Prao AC-C d13-0,F (White) Star,,,Flyoo Prao AC-C d13-0 5,no,planetary,Water world,0,"",1524.9626464844,Not terraformable,4247.842,0.3123669922,0.704202354,267,0.258667469025,No volcanism,Oxygen,0.153449,0.748078833067,no,1613.92683232268,3.063760159539,0.002735,-0.004873,336.108073,,,22072.5,-940.906,41048.8,2021-04-12 18:46:56
Flyoo Prao AC-C d13-0,D,single,F (White) Star,F5,Vb,1888,Flyoo Prao AC-C d13-0,F (White) Star,F5,Vb,1888,Flyoo Prao AC-C d13-0,F (White) Star,,,Flyoo Prao AC-C d13-0 6,no,planetary,Water world,0,"",1819.4177246094,Not terraformable,3746.28925,0.2066709995,0.599026382,252,0.495524525642,No volcanism,Carbon dioxide,-0.238995,1.036889625764,no,2149.02415043773,3.70817092399,0.016966,-5.565765,251.465582,,,22072.5,-940.906,41048.8,2021-04-12 18:47:31
Flyoo Prao AC-J d10-0,D,single,F (White) Star,F1,Vb,1048,Flyoo Prao AC-J d10-0,F (White) Star,F1,Vb,1048,Flyoo Prao AC-J d10-0,F (White) Star,,,Flyoo Prao AC-J d10-0 5,no,planetary,Water world,0,"",1785.5639648438,Not terraformable,3804.609,0.2164240032,0.6082111597,302,0.577507093511,No volcanism,Carbon dioxide,0.176375,0.979718927049,no,1914.23089967836,3.583990728115,0.001668,-0.147133,197.067244,,,22349.6,-262.031,40784.6,2022-03-12 18:02:04
Flyoo Prao AC-S d5-10,D,multiple,F (White) Star,F4,Vab,1416,Flyoo Prao AC-S d5-10 C,K (Yellow-Orange) Star,K7,Va,1416,Flyoo Prao AC-S d5-10 C,K (Yellow-Orange) Star,,,Flyoo Prao AC-S d5-10 C 3,no,planetary,Water world,0,"",15309.6455078125,Not terraformable,6620.1725,1.3527100086,1.2555532455,248,2.52349725512,Minor Silicate Vapour Geysers,Nitrogen,0.317615,1.028482767639,no,1114.55481361459,1.687114916874,0.482921,114.234033,74.816844,,,22028.6,-149.375,40442.6,2022-02-22 04:25:39
Flyoo Prao AC-S d5-11,D,single,G (White-Yellow) Star,G5,Vab,2066,Flyoo Prao AC-S d5-11,G (White-Yellow) Star,G5,Vab,2066,Flyoo Prao AC-S d5-11,G (White-Yellow) Star,,,Flyoo Prao AC-S d5-11 2,no,planetary,Water world,0,"",790.5928955078,Not terraformable,3680.03475,0.1947329938,0.5849311352,280,0.294492871789,No volcanism,Carbon dioxide,0.412571,1.816797825093,no,734.088017984676,1.584349070183,0.000131,-0.595288,284.836432,,,22016.2,-148.688,40451.1,2022-02-22 04:27:28
