"EDAstro ID","EDSM ID",ID64,Name,X,Y,Z,"Sol Distance","Mass Code","Main Star Type","Date Added"
61154620,61222511,15040518403,"Flyoo Prao AA-A d0",21708.6,-1292,39953.9,45488.9,d,"A (Blue-White) Star","2021-01-18 21:14:23"
64167159,64192257,671658979858,"Flyoo Prao AA-C c2-2",22682.6,-142.719,39988.8,45974.2,c,"K (Yellow-Orange) Star","2021-03-30 13:38:22"
53586459,53670347,7778722564192,"Flyoo Prao AA-D a12-0",22457.3,-34.5625,40015.3,45886.3,a,"Y (Brown dwarf) Star","2020-06-22 02:07:14"
67984181,68012446,977238844793,"Flyoo Prao AA-G b44-0",22815.4,-160.75,40836.3,46777.9,b,"M (Red dwarf) Star","2021-08-07 11:00:00"
63321109,63361458,15241877851,"Flyoo Prao AA-H d10-0",22715.1,-1093.44,40828.5,46734.8,d,"F (White) Star","2021-03-09 07:24:25"
65629434,65662262,7774427466608,"Flyoo Prao AA-M a103-0",22417,-43.5938,40995.9,46724.6,a,"Y (Brown dwarf) Star","2021-05-10 07:53:27"
69107616,69113580,976165168465,"Flyoo Prao AA-P b39-0",22735,-142.312,40739,46653.7,b,"M (Red dwarf) Star","2021-09-21 22:26:12"
73646456,73683758,15241959739,"Flyoo Prao AA-P d6-0",22657.4,-733.188,40458.4,46376.5,d,"A (Blue-White) Star","2022-04-13 17:42:09"
74521935,74560890,120829260474,"Flyoo Prao AA-Q c21-0",22035.6,-324.938,40844.6,46410.7,c,"K (Yellow-Orange) Star","2022-05-28 06:09:09"
55166417,55253627,395170525770,"Flyoo Prao AA-Q c8-1",21724.8,-50.5,40271.9,45758,c,"K (Yellow-Orange) Star","2020-08-02 19:14:16"
63805602,63846987,15174785331,"Flyoo Prao AA-Q d5-0",22349.2,-1064.81,40375.3,46160.5,d,"A (Blue-White) Star","2021-03-21 07:40:43"
3432652,3385286,962206524857,"Flyoo Prao AA-S b51-0",21713.1,-133.438,40998.2,46393.2,b,,"2016-06-29 03:02:25"
75177847,75193746,15242041627,"Flyoo Prao AA-X d2-0",22665.2,-332.375,40142.6,46100.4,d,"F (White) Star","2022-07-04 22:44:37"
75154951,75193768,49601779995,"Flyoo Prao AA-X d2-1",22689.3,-340.938,40213.7,46174.2,d,"F (White) Star","2022-07-04 18:47:11"
75154981,75193797,83961518363,"Flyoo Prao AA-X d2-2",22663.1,-280.906,40142.9,46099.3,d,"A (Blue-White) Star","2022-07-04 18:50:09"
75154994,75193810,118321256731,"Flyoo Prao AA-X d2-3",22672.6,-340.594,40190.4,46145.7,d,"F (White) Star","2022-07-04 18:52:09"
75154937,75193760,152680995099,"Flyoo Prao AA-X d2-4",22687.8,-342.812,40204.4,46165.5,d,"F (White) Star","2022-07-04 18:46:08"
75425910,75463390,15174867219,"Flyoo Prao AA-Y d1-0",22335.9,-654.906,40064,45874.2,d,"F (White) Star","2022-07-20 14:31:11"
75259346,75299088,49534605587,"Flyoo Prao AA-Y d1-1",22410.7,-617.25,40103.3,45944.5,d,"A (Blue-White) Star","2022-07-10 17:44:13"
65562697,65522647,15107692811,"Flyoo Prao AA-Z d0",22025.4,-976.812,39983,45658.7,d,"F (White) Star","2021-05-06 05:52:06"
75259364,75299109,1897893004,"Flyoo Prao AA-Z e0",22363.9,-653.906,40079.1,45901.1,e,"B (Blue-White) Star","2022-07-10 17:46:09"
67622967,67649699,968112170385,"Flyoo Prao AB-B b47-0",22142,-124.438,40899.6,46508.8,b,"M (Red dwarf) Star","2021-07-21 16:51:04"
75562382,75604545,120963346954,"Flyoo Prao AB-C c1-0",22098.5,-504.75,39937.1,45646.2,c,"K (Yellow-Orange) Star","2022-07-29 17:14:11"
54009090,54093879,7806639851616,"Flyoo Prao AB-D a12-0",22717.2,-31.6875,40023.3,46021,a,"T (Brown dwarf) Star","2020-07-03 06:52:47"
69363746,69390199,7832409655864,"Flyoo Prao AB-D a67-0",22964.1,-28.4688,40608.1,46651.6,a,"Y (Brown dwarf) Star","2021-10-03 21:03:45"
76107885,76153725,15275546995,"Flyoo Prao AB-D d13-0",22818,-577.188,41026,46948.1,d,"G (White-Yellow) Star","2022-08-28 14:21:10"
74023501,74064539,49635285363,"Flyoo Prao AB-D d13-1",22883.7,-554.344,41063.3,47012.4,d,"A (Blue-White) Star","2022-04-30 12:37:07"
72798925,72832826,395841450738,"Flyoo Prao AB-E c28-1",22095.2,-231.438,41111.5,46673.5,c,"K (Yellow-Orange) Star","2022-03-02 11:00:08"
64969940,65008180,15208372587,"Flyoo Prao AB-E d12-0",22498.1,-895.344,40937.2,46720.6,d,"A (Blue-White) Star","2021-04-21 19:21:14"
74713316,74751853,120694977258,"Flyoo Prao AB-F c27-0",21940.6,-421.188,41060.2,46556.5,c,"M (Red dwarf) Star","2022-06-07 13:37:09"
75374076,75415022,120426410722,"Flyoo Prao AB-G c26-0",21778.9,-583.656,41018.9,46445.8,c,"G (White-Yellow) Star","2022-07-17 13:50:10"
54392551,54478093,672061665906,"Flyoo Prao AB-H c13-2",22922,-78.5312,40473.9,46514.1,c,"K (Yellow-Orange) Star","2020-07-13 02:23:56"
68223395,68248244,15275628883,"Flyoo Prao AB-L d9-0",22864.8,-125.219,40705.2,46687.6,d,"F (White) Star","2021-08-16 10:57:02"
68223407,68248257,49635367251,"Flyoo Prao AB-L d9-1",22856.8,-128.938,40697,46676.5,d,"G (White-Yellow) Star","2021-08-16 10:57:27"
68223418,68248268,83995105619,"Flyoo Prao AB-L d9-2",22866.9,-121.75,40698.1,46682.4,d,"K (Yellow-Orange) Star","2021-08-16 10:58:14"
68229638,68255463,118354843987,"Flyoo Prao AB-L d9-3",22857.3,-121.656,40698.4,46678,d,"A (Blue-White) Star","2021-08-16 15:29:04"
68229752,68255584,152714582355,"Flyoo Prao AB-L d9-4",22883.8,-137.062,40744.9,46731.5,d,"A (Blue-White) Star","2021-08-16 15:32:39"
68230154,68256005,187074320723,"Flyoo Prao AB-L d9-5",22825.5,-169.656,40721,46682.3,d,"F (White) Star","2021-08-16 15:45:00"
68230268,68256121,221434059091,"Flyoo Prao AB-L d9-6",22859.8,-123.75,40704.7,46684.7,d,"F (White) Star","2021-08-16 15:49:26"
68230316,68256167,255793797459,"Flyoo Prao AB-L d9-7",22862.6,-132.281,40702.2,46683.9,d,"A (Blue-White) Star","2021-08-16 15:51:10"
68230362,68256217,290153535827,"Flyoo Prao AB-L d9-8",22866.3,-127.344,40718.8,46700.1,d,"F (White) Star","2021-08-16 15:53:13"
68230590,68256456,324513274195,"Flyoo Prao AB-L d9-9",22825.8,-152.125,40726.5,46687.1,d,"G (White-Yellow) Star","2021-08-16 16:00:58"
75854532,75891890,15208454475,"Flyoo Prao AB-M d8-0",22512.7,-466.094,40663.8,46482.1,d,"A (Blue-White) Star","2022-08-15 09:22:09"
75854542,75891904,49568192843,"Flyoo Prao AB-M d8-1",22510.9,-452.812,40669,46485.6,d,"A (Blue-White) Star","2022-08-15 09:23:09"
53283128,53366531,83927931211,"Flyoo Prao AB-M d8-2",22569.4,-481.906,40669.9,46515.1,d,"A (Blue-White) Star","2020-06-15 02:43:17"
75678256,75692965,15141280067,"Flyoo Prao AB-N d7-0",22176.8,-819.625,40544,46220.1,d,"G (White-Yellow) Star","2022-08-04 01:29:34"
75678254,75692954,49501018435,"Flyoo Prao AB-N d7-1",22176.8,-815.406,40539.7,46216.3,d,"F (White) Star","2022-08-04 01:28:30"
63795930,63834845,15074105659,"Flyoo Prao AB-O d6-0",21929.5,-1077.19,40509.4,46076.8,d,"A (Blue-White) Star","2021-03-20 23:12:21"
75972404,76012565,121231749682,"Flyoo Prao AB-T c5-0",22266.1,-536.688,40167.9,45929.6,c,"K (Yellow-Orange) Star","2022-08-21 13:18:10"
58504153,58559556,15208536363,"Flyoo Prao AB-U d4-0",22500.8,-99.9062,40302.5,46158.3,d,"F (White) Star","2020-11-14 08:26:32"
58462370,58559633,49568274731,"Flyoo Prao AB-U d4-1",22499.1,-103.156,40312.2,46165.9,d,"F (White) Star","2020-11-14 03:33:52"
58487495,58588111,358805920043,"Flyoo Prao AB-U d4-10",22515.4,-58.0625,40370.5,46224.7,d,"G (White-Yellow) Star","2020-11-14 17:43:52"
58487534,58588152,393165658411,"Flyoo Prao AB-U d4-11",22522.3,-58.8438,40362.6,46221.2,d,"F (White) Star","2020-11-14 17:45:05"
58462385,58559670,83928013099,"Flyoo Prao AB-U d4-2",22504.3,-90.5312,40300.7,46158.4,d,"F (White) Star","2020-11-14 03:34:57"
42099847,42166204,118287751467,"Flyoo Prao AB-U d4-3",22502.8,-65.0625,40315.8,46170.8,d,"F (White) Star","2019-07-18 00:50:36"
58462645,58559940,152647489835,"Flyoo Prao AB-U d4-4",22551.1,-46.0312,40368.2,46240.1,d,"F (White) Star","2020-11-14 03:53:28"
