timestamp,Name_Localised,System
2000-01-05T00,Guardian Structure ,Col 135 Sector TU-O c6-15
2000-01-05T01,Guardian Structure ,Col 173 Sector AI-H c11-22
2000-01-05T02,Guardian Structure ,Col 173 Sector AY-F c12-0
2000-01-05T03,Guardian Structure ,Col 173 Sector BH-K b25-8
2000-01-05T04,Guardian Structure ,Col 173 Sector BO-F c12-24
2000-01-05T05,Guardian Structure ,Col 173 Sector CC-K b25-8
2000-01-05T06,Guardian Structure ,Col 173 Sector DH-K b25-2
2000-01-05T07,Guardian Structure ,Col 173 Sector DO-F c12-4
2000-01-05T08,Guardian Structure ,Col 173 Sector DZ-D c13-2
2000-01-05T09,Guardian Structure ,Col 173 Sector EZ-D c13-25
2000-01-05T10,Guardian Structure ,Col 173 Sector FZ-D c13-30
2000-01-05T11,Guardian Structure ,Col 173 Sector GS-J b25-4
2000-01-05T12,Guardian Structure ,Col 173 Sector HN-I b26-5
2000-01-05T13,Guardian Structure ,Col 173 Sector HR-M b23-3
2000-01-05T14,Guardian Structure ,Col 173 Sector HU-D c13-2
2000-01-05T15,Guardian Structure ,Col 173 Sector IJ-G b27-1
2000-01-05T16,Guardian Structure ,Col 173 Sector JI-J b25-0
2000-01-05T17,Guardian Structure ,Col 173 Sector JP-D c13-14
2000-01-05T18,Guardian Structure ,Col 173 Sector JX-K b24-0
2000-01-05T19,Guardian Structure ,Col 173 Sector KN-J b25-5
2000-01-05T20,Guardian Structure ,Col 173 Sector KY-Q d5-26
2000-01-05T21,Guardian Structure ,Col 173 Sector LT-Q d5-82
2000-01-05T22,Guardian Structure ,Col 173 Sector LT-Q d5-90
2000-01-05T23,Guardian Structure ,Col 173 Sector ME-P d6-92
2000-01-05T24,Guardian Structure ,Col 173 Sector NV-B c14-1
2000-01-05T25,Guardian Structure ,Col 173 Sector OD-J b25-2
2000-01-05T26,Guardian Structure ,Col 173 Sector PF-E b28-3
2000-01-05T27,Guardian Structure ,Col 173 Sector PZ-O d6-110
2000-01-05T28,Guardian Structure ,Col 173 Sector PZ-O d6-116
2000-01-05T29,Guardian Structure ,Col 173 Sector QU-O d6-25
2000-01-05T30,Guardian Structure ,Col 173 Sector QU-O d6-32
2000-01-05T31,Guardian Structure ,Col 173 Sector RT-I b25-1
2000-01-05T32,Guardian Structure ,Col 173 Sector RU-O d6-16
2000-01-05T33,Guardian Structure ,Col 173 Sector WP-O b22-1
2000-01-05T34,Guardian Structure ,Col 173 Sector WZ-O b22-4
2000-01-05T35,Guardian Structure ,Col 173 Sector XH-H c11-21
2000-01-05T36,Guardian Structure ,Col 173 Sector XL-K b25-1
2000-01-05T37,Guardian Structure ,Col 173 Sector YF-N b23-5
2000-01-05T38,Guardian Structure ,Col 173 Sector YF-N b23-6
2000-01-05T39,Guardian Structure ,Col 173 Sector ZL-L b24-2
2000-01-05T40,Guardian Structure ,Col 173 Sector ZL-L b24-7
2000-01-05T41,Guardian Structure ,Col 173 Sector ZS-F c12-27
2000-01-05T42,Guardian Structure ,HD 62755
2000-01-05T43,Guardian Structure ,HD 63154
2000-01-05T44,Guardian Structure ,HIP 36781
2000-01-05T45,Guardian Structure ,HIP 39768
2000-01-05T46,Guardian Structure ,HIP 39890
2000-01-05T47,Guardian Structure ,HIP 41730
2000-01-05T48,Guardian Structure ,IC 2391 Sector CA-A d43
2000-01-05T49,Guardian Structure ,IC 2391 Sector FL-X b1-7
2000-01-05T50,Guardian Structure ,IC 2391 Sector HG-X b1-8
2000-01-05T51,Guardian Structure ,NGC 2451A Sector DL-Y d61
2000-01-05T52,Guardian Structure ,NGC 2451A Sector IR-W d1-77
2000-01-05T53,Guardian Structure ,NGC 2451A Sector JR-W c1-1
2000-01-05T54,Guardian Structure ,NGC 2451A Sector MC-V c2-5
2000-01-05T55,Guardian Structure ,NGC 2451A Sector TO-R c4-10
2000-01-05T56,Guardian Structure ,NGC 2451A Sector TY-R b4-6
2000-01-05T57,Guardian Structure ,NGC 2451A Sector UO-R c4-4
2000-01-05T58,Guardian Structure ,NGC 2451A Sector VJ-R c4-22
2000-01-05T59,Guardian Structure ,NGC 2451A Sector WE-Q b5-6
2000-01-05T60,Guardian Structure ,Pencil Sector VY-A b8
2000-01-05T61,Guardian Structure ,Pencil Sector YJ-A c12
2000-01-05T62,Guardian Structure ,Synuefe AH-J d10-103
2000-01-05T63,Guardian Structure ,Synuefe AH-J d10-20
2000-01-05T64,Guardian Structure ,Synuefe AH-J d10-46
2000-01-05T65,Guardian Structure ,Synuefe BE-R c21-35
2000-01-05T66,Guardian Structure ,Synuefe BH-J d10-68
2000-01-05T67,Guardian Structure ,Synuefe BZ-Q c21-11
2000-01-05T68,Guardian Structure ,Synuefe CE-R c21-6
2000-01-05T69,Guardian Structure ,Synuefe DJ-G b44-3
2000-01-05T70,Guardian Structure ,Synuefe DK-D b46-4
2000-01-05T71,Guardian Structure ,Synuefe DZ-Q c21-14
2000-01-05T72,Guardian Structure ,Synuefe EA-U b50-3
2000-01-05T73,Guardian Structure ,Synuefe ED-I b43-8
2000-01-05T74,Guardian Structure ,Synuefe EN-H d11-106
2000-01-05T75,Guardian Structure ,Synuefe EN-H d11-28
2000-01-05T76,Guardian Structure ,Synuefe EN-H d11-29
2000-01-05T77,Guardian Structure ,Synuefe EN-H d11-5
2000-01-05T78,Guardian Structure ,Synuefe EN-H d11-96
2000-01-05T79,Guardian Structure ,Synuefe EU-Q c21-10
2000-01-05T80,Guardian Structure ,Synuefe EU-Q c21-15
2000-01-05T81,Guardian Structure ,Synuefe FK-P c22-2
2000-01-05T82,Guardian Structure ,Synuefe GQ-N c23-21
2000-01-05T83,Guardian Structure ,Synuefe GT-H b43-1
2000-01-05T84,Guardian Structure ,Synuefe GV-T b50-4
2000-01-05T85,Guardian Structure ,Synuefe HE-G b44-5
2000-01-05T86,Guardian Structure ,Synuefe HF-P c22-17
2000-01-05T87,Guardian Structure ,Synuefe HP-E b45-8
2000-01-05T88,Guardian Structure ,Synuefe HT-F d12-29
2000-01-05T89,Guardian Structure ,Synuefe IE-G b44-2
2000-01-05T90,Guardian Structure ,Synuefe IL-N c23-19
2000-01-05T91,Guardian Structure ,Synuefe JP-E b45-4
2000-01-05T92,Guardian Structure ,Synuefe KZ-F b44-5
2000-01-05T93,Guardian Structure ,Synuefe LQ-T b50-1
2000-01-05T94,Guardian Structure ,Synuefe LY-I b42-2
2000-01-05T95,Guardian Structure ,Synuefe NB-B b47-10
2000-01-05T96,Guardian Structure ,Synuefe NL-N c23-4
2000-01-05T97,Guardian Structure ,Synuefe NU-F b44-5
2000-01-05T98,Guardian Structure ,Synuefe OT-I b42-4
2000-01-05T99,Guardian Structure ,Synuefe PF-E b45-5
2000-01-05T100,Guardian Structure ,Synuefe PM-L c24-24
2000-01-05T101,Guardian Structure ,Synuefe PX-J c25-8
2000-01-05T102,Guardian Structure ,Synuefe SP-F b44-0
2000-01-05T103,Guardian Structure ,Synuefe TP-F b44-0
2000-01-05T104,Guardian Structure ,Synuefe VK-F b44-0
2000-01-05T105,Guardian Structure ,Synuefe ZG-J d10-79
2000-01-05T106,Guardian Structure ,Synuefe ZL-J d10-109
2000-01-05T107,Guardian Structure ,Synuefe ZL-J d10-119
2000-01-05T108,Guardian Structure ,Synuefe ZR-I b43-10
2000-01-05T109,Guardian Structure ,Vela Dark Region BQ-Y d110
2000-01-05T110,Guardian Structure ,Vela Dark Region BQ-Y d94
2000-01-05T111,Guardian Structure ,Vela Dark Region CQ-Y c0
2000-01-05T112,Guardian Structure ,Vela Dark Region DL-Y d112
2000-01-05T113,Guardian Structure ,Vela Dark Region DL-Y d83
2000-01-05T114,Guardian Structure ,Vela Dark Region DL-Y d91
2000-01-05T115,Guardian Structure ,Vela Dark Region EG-X b1-1
2000-01-05T116,Guardian Structure ,Vela Dark Region EL-Y d32
2000-01-05T117,Guardian Structure ,Vela Dark Region EL-Y d55
2000-01-05T118,Guardian Structure ,Vela Dark Region FL-Y d63
2000-01-05T119,Guardian Structure ,Vela Dark Region HB-X c1-28
2000-01-05T120,Guardian Structure ,Vela Dark Region IW-W b1-3
2000-01-05T121,Guardian Structure ,Vela Dark Region JS-T b3-0
2000-01-05T122,Guardian Structure ,Vela Dark Region KR-W c1-24
2000-01-05T123,Guardian Structure ,Vela Dark Region RY-R b4-7
2000-01-05T124,Guardian Structure ,Vela Dark Region ZE-A d66
2000-01-05T125,Guardian Structure ,Wregoe CQ-G d10-56
2000-01-05T126,Guardian Structure ,Wregoe DQ-G d10-42
2000-01-05T127,Guardian Structure ,Wregoe JR-L c21-1
2000-01-05T128,Guardian Structure ,Wregoe KH-Z b41-0
