timestamp,Name_Localised,System
2000-01-01T00,Bark Mounds,2MASS J18192265-1631091
2000-01-01T01,Bark Mounds,2MASS J18194800-1644152
2000-01-01T02,Bark Mounds,5 Rho Scorpii
2000-01-01T03,Bark Mounds,Aiphaisty AB-O d6-159
2000-01-01T04,Bark Mounds,Aiphaisty LX-U e2-24
2000-01-01T05,Bark Mounds,Armstrong
2000-01-01T06,Bark Mounds,Blaa Hypai CQ-X d1-21
2000-01-01T07,Bark Mounds,Blaa Hypai CZ-D c13-0
2000-01-01T08,Bark Mounds,Blaa Hypai GG-V c3-4
2000-01-01T09,Bark Mounds,Blaa Hypai HW-V d2-6
2000-01-01T10,Bark Mounds,Blaa Hypai HY-H b26-1
2000-01-01T11,Bark Mounds,Blaa Hypai LZ-F b27-0
2000-01-01T12,Bark Mounds,Blaa Hypai OZ-O d6-16
2000-01-01T13,Bark Mounds,Blae Drye PE-E d13-6
2000-01-01T14,Bark Mounds,Blae Drye QZ-D d13-103
2000-01-01T15,Bark Mounds,Blae Drye TK-C d14-37
2000-01-01T16,Bark Mounds,Blae Drye VM-G b58-13
2000-01-01T17,Bark Mounds,Blae Eork NE-E d13-25
2000-01-01T18,Bark Mounds,Blae Eork RU-D d13-20
2000-01-01T19,Bark Mounds,Bleae Aewsy GV-X d1-27
2000-01-01T20,Bark Mounds,Bleae Aewsy LE-M b10-1
2000-01-01T21,Bark Mounds,Bleethuae CC-B c1-229
2000-01-01T22,Bark Mounds,Bleethuae MN-B d1365
2000-01-01T23,Bark Mounds,Bleethuae NI-B d674
2000-01-01T24,Bark Mounds,Bleethuae XV-C c285
2000-01-01T25,Bark Mounds,Bleia Dryiae EK-C d14-102
2000-01-01T26,Bark Mounds,Bleia Dryiae EK-C d14-18
2000-01-01T27,Bark Mounds,Bleia Dryiae IH-K c25-36
2000-01-01T28,Bark Mounds,Bleia Dryiae ZQ-E b59-8
2000-01-01T29,Bark Mounds,Blo Aescs RR-U c19-18
2000-01-01T30,Bark Mounds,Blo Aescs YY-A d80
2000-01-01T31,Bark Mounds,Blua Eaec AN-E c14-357
2000-01-01T32,Bark Mounds,Blua Eaec AN-E c14-41
2000-01-01T33,Bark Mounds,Blua Eaec EW-V e2-3175
2000-01-01T34,Bark Mounds,Blua Eaec EW-V e2-3617
2000-01-01T35,Bark Mounds,Blua Eaec LD-Q d6-1538
2000-01-01T36,Bark Mounds,Blua Eaec PJ-O d7-1262
2000-01-01T37,Bark Mounds,Blue Phroea EK-C d14-0
2000-01-01T38,Bark Mounds,Boepp XA-D d13-2289
2000-01-01T39,Bark Mounds,Boepp XA-D d13-2791
2000-01-01T40,Bark Mounds,Boepp ZK-O e6-226
2000-01-01T41,Bark Mounds,Boeppy XZ-X d1-13
2000-01-01T42,Bark Mounds,Boewnst CB-W c18-748
2000-01-01T43,Bark Mounds,Boewnst CV-P d5-631
2000-01-01T44,Bark Mounds,Boewnst GM-U c19-2109
2000-01-01T45,Bark Mounds,Boewnst HN-S e4-325
2000-01-01T46,Bark Mounds,Boewnst KS-S c20-959
2000-01-01T47,Bark Mounds,Boewnst LU-M d8-3748
2000-01-01T48,Bark Mounds,Boewnst OA-L d9-1285
2000-01-01T49,Bark Mounds,Boewnst OA-L d9-4513
2000-01-01T50,Bark Mounds,Boewnst PA-L d9-4002
2000-01-01T51,Bark Mounds,Boewnst PT-Q c21-905
2000-01-01T52,Bark Mounds,Boewnst RL-J d10-1594
2000-01-01T53,Bark Mounds,Boewnst SG-J d10-4272
2000-01-01T54,Bark Mounds,Boewnst SJ-P c22-1176
2000-01-01T55,Bark Mounds,Boewnst TG-J d10-1066
2000-01-01T56,Bark Mounds,Boewnst TG-J d10-1093
2000-01-01T57,Bark Mounds,Boewnst TG-J d10-488
