timestamp,Name_Localised,System
2000-01-02T00,Brain Trees,2MASS J10433563-5945136
2000-01-02T01,Brain Trees,2MASS J10433739-6005084
2000-01-02T02,Brain Trees,2MASS J10444160-5947046
2000-01-02T03,Brain Trees,35 G. Carinae
2000-01-02T04,Brain Trees,70 G. Carinae
2000-01-02T05,Brain Trees,Blaa Hypai CZ-D c13-0
2000-01-02T06,Brain Trees,Blaa Hypai DD-I b26-0
2000-01-02T07,Brain Trees,Blaa Hypai DZ-D c13-1
2000-01-02T08,Brain Trees,Blaa Hypai LZ-F b27-0
2000-01-02T09,Brain Trees,Blae Eork RK-C d14-15
2000-01-02T10,Brain Trees,Blae Eork RU-D d13-20
2000-01-02T11,Brain Trees,Blae Eork UL-J b56-1
2000-01-02T12,Brain Trees,Blae Hypue SW-E b28-1
2000-01-02T13,Brain Trees,Chi Hydrae
2000-01-02T14,Brain Trees,Clookeou AK-B b58-11
2000-01-02T15,Brain Trees,Clookeou CH-B d14-147
2000-01-02T16,Brain Trees,Clookeou LN-B c29-19
2000-01-02T17,Brain Trees,Clookeou NE-D b56-4
2000-01-02T18,Brain Trees,Clookeou RF-D d13-84
2000-01-02T19,Brain Trees,Clookeou UT-I c25-22
2000-01-02T20,Brain Trees,Clookeou VL-B d14-114
2000-01-02T21,Brain Trees,Clookeou VL-B d14-121
2000-01-02T22,Brain Trees,Coalsack Dark Region YJ-A d57
2000-01-02T23,Brain Trees,Col 132 Sector GH-V e2-13
2000-01-02T24,Brain Trees,Col 132 Sector IN-S d4-64
2000-01-02T25,Brain Trees,Col 132 Sector LJ-O b36-3
2000-01-02T26,Brain Trees,Col 132 Sector NL-W b18-0
2000-01-02T27,Brain Trees,Col 132 Sector NT-Q d5-51
2000-01-02T28,Brain Trees,Col 132 Sector OU-H b26-3
2000-01-02T29,Brain Trees,Col 132 Sector UB-R c19-5
2000-01-02T30,Brain Trees,Col 135 Sector BC-K b9-0
2000-01-02T31,Brain Trees,Col 135 Sector DL-N b7-0
2000-01-02T32,Brain Trees,Col 135 Sector FR-V c2-19
2000-01-02T33,Brain Trees,Col 135 Sector LC-V d2-62
2000-01-02T34,Brain Trees,Col 135 Sector RO-Q c5-7
2000-01-02T35,Brain Trees,Col 135 Sector TU-O c6-15
2000-01-02T36,Brain Trees,Col 135 Sector TU-O c6-8
2000-01-02T37,Brain Trees,Col 135 Sector UU-O c6-2
2000-01-02T38,Brain Trees,Col 140 Sector IH-V d2-44
2000-01-02T39,Brain Trees,Col 173 Sector AB-N d7-34
2000-01-02T40,Brain Trees,Col 173 Sector AR-S c18-5
2000-01-02T41,Brain Trees,Col 173 Sector AY-F b28-9
2000-01-02T42,Brain Trees,Col 173 Sector BH-L d8-72
2000-01-02T43,Brain Trees,Col 173 Sector BN-Y c15-3
2000-01-02T44,Brain Trees,Col 173 Sector BY-W c16-4
2000-01-02T45,Brain Trees,Col 173 Sector CB-V d3-48
2000-01-02T46,Brain Trees,Col 173 Sector CI-Y c15-1
2000-01-02T47,Brain Trees,Col 173 Sector CZ-C c14-15
2000-01-02T48,Brain Trees,Col 173 Sector DE-R b34-1
2000-01-02T49,Brain Trees,Col 173 Sector DG-M b24-4
2000-01-02T50,Brain Trees,Col 173 Sector DG-M b24-5
2000-01-02T51,Brain Trees,Col 173 Sector DK-Y b30-2
2000-01-02T52,Brain Trees,Col 173 Sector DM-U d3-82
2000-01-02T53,Brain Trees,Col 173 Sector EC-K b25-0
2000-01-02T54,Brain Trees,Col 173 Sector ED-G c12-2
2000-01-02T55,Brain Trees,Col 173 Sector ED-G c12-3
2000-01-02T56,Brain Trees,Col 173 Sector ED-G c12-4
2000-01-02T57,Brain Trees,Col 173 Sector ED-G c12-9
2000-01-02T58,Brain Trees,Col 173 Sector EM-L d8-2
2000-01-02T59,Brain Trees,Col 173 Sector EM-L d8-69
2000-01-02T60,Brain Trees,Col 173 Sector ET-W c16-12
2000-01-02T61,Brain Trees,Col 173 Sector ET-W c16-16
2000-01-02T62,Brain Trees,Col 173 Sector ET-W c16-21
2000-01-02T63,Brain Trees,Col 173 Sector ET-W c16-22
2000-01-02T64,Brain Trees,Col 173 Sector ET-W c16-9
2000-01-02T65,Brain Trees,Col 173 Sector FH-L d8-10
2000-01-02T66,Brain Trees,Col 173 Sector FH-L d8-17
2000-01-02T67,Brain Trees,Col 173 Sector FH-L d8-2
2000-01-02T68,Brain Trees,Col 173 Sector FH-L d8-27
2000-01-02T69,Brain Trees,Col 173 Sector FH-L d8-29
2000-01-02T70,Brain Trees,Col 173 Sector FH-L d8-3
2000-01-02T71,Brain Trees,Col 173 Sector FH-L d8-31
2000-01-02T72,Brain Trees,Col 173 Sector FH-L d8-38
2000-01-02T73,Brain Trees,Col 173 Sector FH-L d8-41
2000-01-02T74,Brain Trees,Col 173 Sector FH-L d8-43
2000-01-02T75,Brain Trees,Col 173 Sector FH-L d8-44
2000-01-02T76,Brain Trees,Col 173 Sector FH-L d8-46
2000-01-02T77,Brain Trees,Col 173 Sector FH-L d8-48
2000-01-02T78,Brain Trees,Col 173 Sector FH-L d8-8
2000-01-02T79,Brain Trees,Col 173 Sector FS-I c10-2
2000-01-02T80,Brain Trees,Col 173 Sector GA-O b23-1
2000-01-02T81,Brain Trees,Col 173 Sector GA-O b23-4
2000-01-02T82,Brain Trees,Col 173 Sector GG-E b28-3
2000-01-02T83,Brain Trees,Col 173 Sector GH-L d8-32
2000-01-02T84,Brain Trees,Col 173 Sector HL-E b28-6
2000-01-02T85,Brain Trees,Col 173 Sector HM-Z b28-1
2000-01-02T86,Brain Trees,Col 173 Sector HN-J d9-52
2000-01-02T87,Brain Trees,Col 173 Sector HR-M b23-3
2000-01-02T88,Brain Trees,Col 173 Sector HS-S d4-77
2000-01-02T89,Brain Trees,Col 173 Sector IJ-E c13-2
2000-01-02T90,Brain Trees,Col 173 Sector IN-J d9-14
2000-01-02T91,Brain Trees,Col 173 Sector IN-J d9-20
2000-01-02T92,Brain Trees,Col 173 Sector IN-J d9-23
2000-01-02T93,Brain Trees,Col 173 Sector IN-J d9-24
2000-01-02T94,Brain Trees,Col 173 Sector IN-J d9-26
2000-01-02T95,Brain Trees,Col 173 Sector IN-J d9-32
2000-01-02T96,Brain Trees,Col 173 Sector IN-J d9-35
2000-01-02T97,Brain Trees,Col 173 Sector IN-J d9-45
2000-01-02T98,Brain Trees,Col 173 Sector IN-J d9-52
2000-01-02T99,Brain Trees,Col 173 Sector IN-J d9-54
2000-01-02T100,Brain Trees,Col 173 Sector IN-J d9-60
2000-01-02T101,Brain Trees,Col 173 Sector IN-J d9-63
2000-01-02T102,Brain Trees,Col 173 Sector IN-J d9-7
2000-01-02T103,Brain Trees,Col 173 Sector IN-J d9-8
2000-01-02T104,Brain Trees,Col 173 Sector IR-M d7-2
2000-01-02T105,Brain Trees,Col 173 Sector IU-C c14-24
2000-01-02T106,Brain Trees,Col 173 Sector IV-F b27-1
2000-01-02T107,Brain Trees,Col 173 Sector IZ-D b29-8
2000-01-02T108,Brain Trees,Col 173 Sector IZ-Q b34-2
2000-01-02T109,Brain Trees,Col 173 Sector JE-E c13-29
2000-01-02T110,Brain Trees,Col 173 Sector JP-C c14-13
2000-01-02T111,Brain Trees,Col 173 Sector JX-K b24-0
2000-01-02T112,Brain Trees,Col 173 Sector KN-J b25-5
2000-01-02T113,Brain Trees,Col 173 Sector KN-J d9-1
2000-01-02T114,Brain Trees,Col 173 Sector KN-J d9-11
2000-01-02T115,Brain Trees,Col 173 Sector KN-J d9-19
2000-01-02T116,Brain Trees,Col 173 Sector KN-J d9-22
2000-01-02T117,Brain Trees,Col 173 Sector KN-J d9-33
2000-01-02T118,Brain Trees,Col 173 Sector KN-J d9-38
2000-01-02T119,Brain Trees,Col 173 Sector KS-J d9-37
2000-01-02T120,Brain Trees,Col 173 Sector KX-A c14-5
2000-01-02T121,Brain Trees,Col 173 Sector KY-Q d5-13
2000-01-02T122,Brain Trees,Col 173 Sector KY-Q d5-9
2000-01-02T123,Brain Trees,Col 173 Sector LD-R d5-18
2000-01-02T124,Brain Trees,Col 173 Sector LD-R d5-19
2000-01-02T125,Brain Trees,Col 173 Sector LD-R d5-43
2000-01-02T126,Brain Trees,Col 173 Sector LY-Q d5-59
2000-01-02T127,Brain Trees,Col 173 Sector MF-P b35-3
2000-01-02T128,Brain Trees,Col 173 Sector MI-J d9-42
2000-01-02T129,Brain Trees,Col 173 Sector MI-J d9-44
2000-01-02T130,Brain Trees,Col 173 Sector MI-J d9-45
2000-01-02T131,Brain Trees,Col 173 Sector MI-J d9-5
2000-01-02T132,Brain Trees,Col 173 Sector MJ-H b26-0
2000-01-02T133,Brain Trees,Col 173 Sector MN-K b24-4
2000-01-02T134,Brain Trees,Col 173 Sector NJ-P d6-109
2000-01-02T135,Brain Trees,Col 173 Sector NJ-P d6-135
2000-01-02T136,Brain Trees,Col 173 Sector NM-C c13-4
2000-01-02T137,Brain Trees,Col 173 Sector NU-D c13-11
2000-01-02T138,Brain Trees,Col 173 Sector NX-A c14-4
2000-01-02T139,Brain Trees,Col 173 Sector OB-M b37-2
2000-01-02T140,Brain Trees,Col 173 Sector OI-Z c14-9
2000-01-02T141,Brain Trees,Col 173 Sector OL-W b31-1
2000-01-02T142,Brain Trees,Col 173 Sector OQ-T b33-2
2000-01-02T143,Brain Trees,Col 173 Sector OT-X c15-4
2000-01-02T144,Brain Trees,Col 173 Sector PN-V b18-0
2000-01-02T145,Brain Trees,Col 173 Sector PP-N d7-47
2000-01-02T146,Brain Trees,Col 173 Sector PU-D c13-12
2000-01-02T147,Brain Trees,Col 173 Sector QQ-N b36-1
2000-01-02T148,Brain Trees,Col 173 Sector QU-O d6-32
2000-01-02T149,Brain Trees,Col 173 Sector QW-L b37-2
2000-01-02T150,Brain Trees,Col 173 Sector QY-B b29-0
2000-01-02T151,Brain Trees,Col 173 Sector RE-P d6-21
2000-01-02T152,Brain Trees,Col 173 Sector RE-P d6-7
2000-01-02T153,Brain Trees,Col 173 Sector RE-W c16-3
2000-01-02T154,Brain Trees,Col 173 Sector RG-N b36-2
2000-01-02T155,Brain Trees,Col 173 Sector RN-I b26-6
