timestamp,Name_Localised,System
2000-01-04T00,Guardian Ruins,Synuefe XR-H d11-102
2000-01-04T01,Guardian Ruins,IC 2391 Sector GW-V b2-4
2000-01-04T02,Guardian Ruins,IC 2391 Sector ZE-A d101
2000-01-04T03,Guardian Ruins,Synuefe XO-P c22-17
2000-01-04T04,Guardian Ruins,Synuefe ZL-J d10-119
2000-01-04T05,Guardian Ruins,Col 173 Sector KY-Q d5-47
2000-01-04T06,Guardian Ruins,HIP 39768
2000-01-04T07,Guardian Ruins,Synuefe TP-F b44-0
2000-01-04T08,Guardian Ruins,Synuefe NL-N c23-4
2000-01-04T09,Guardian Ruins,Synuefe LY-I b42-2
2000-01-04T10,Guardian Ruins,Col 173 Sector AV-N b23-5
2000-01-04T11,Guardian Ruins,Col 173 Sector LY-Q d5-13
2000-01-04T12,Guardian Ruins,Col 173 Sector XG-J c10-17
2000-01-04T13,Guardian Ruins,Col 173 Sector LY-Q d5-59
2000-01-04T14,Guardian Ruins,Col 173 Sector CG-M b24-8
2000-01-04T15,Guardian Ruins,Col 173 Sector OT-Q d5-18
2000-01-04T16,Guardian Ruins,Synuefe CE-R c21-6
2000-01-04T17,Guardian Ruins,Synuefe ZR-I b43-10
2000-01-04T18,Guardian Ruins,IC 2391 Sector FL-X b1-7
2000-01-04T19,Guardian Ruins,Vela Dark Region RC-V b2-5
2000-01-04T20,Guardian Ruins,Vela Dark Region KR-W c1-24
2000-01-04T21,Guardian Ruins,Vela Dark Region EL-Y d32
2000-01-04T22,Guardian Ruins,Col 173 Sector AP-Q b21-2
2000-01-04T23,Guardian Ruins,Col 173 Sector OE-P d6-11
2000-01-04T24,Guardian Ruins,Skaudai AM-B d14-138
2000-01-04T25,Guardian Ruins,Col 173 Sector WF-N d7-52
2000-01-04T26,Guardian Ruins,Col 173 Sector DH-K b25-2
2000-01-04T27,Guardian Ruins,Col 173 Sector WN-B b29-1
2000-01-04T28,Guardian Ruins,Col 173 Sector UU-O d6-42
2000-01-04T29,Guardian Ruins,Col 173 Sector PV-B c14-1
2000-01-04T30,Guardian Ruins,Vela Dark Region HB-X c1-28
