timestamp,Name_Localised,System
2000-01-10T00,Terraformable ,HIP 11161
2000-01-10T01,Terraformable ,Pru Euq EM-M d7-41
2000-01-10T02,Terraformable ,Hedgea MG-Z b16-0
2000-01-10T03,Terraformable ,NGC 6357 Sector DL-Y e22
2000-01-10T04,Terraformable ,Pleiades Sector KC-V c2-11
2000-01-10T05,Terraformable ,Flyai Eohm WF-W d2-10
2000-01-10T06,Terraformable ,Pyroo Eork TI-Z d1-5
2000-01-10T07,Terraformable ,Hedguia XJ-A d17
2000-01-10T08,Terraformable ,Schienaei YJ-Y d1-793
2000-01-10T09,Terraformable ,Hedgea HB-V d3-1
2000-01-10T10,Terraformable ,Wredguia WZ-G d10-17
2000-01-10T11,Terraformable ,Pleiades Sector DL-Y d65
2000-01-10T12,Terraformable ,Statue of Liberty Sector LC-V c2-12
2000-01-10T13,Terraformable ,Hedguia ME-H d10-44
2000-01-10T14,Terraformable ,Hyades Sector GX-T c3-18
2000-01-10T15,Terraformable ,Monkey Head Sector KC-V c2-3
2000-01-10T16,Terraformable ,Pleiades Sector DL-Y d20
2000-01-10T17,Terraformable ,Shedi
2000-01-10T18,Terraformable ,12 d Bootis
2000-01-10T19,Terraformable ,Nahuatl
2000-01-10T20,Terraformable ,Hedguia XF-W d2-8
2000-01-10T21,Terraformable ,Taurus Dark Region HR-W c1-7
2000-01-10T22,Terraformable ,Pru Chruia JC-L d8-62
2000-01-10T23,Terraformable ,BD-12 1172
2000-01-10T24,Terraformable ,Parorans
2000-01-10T25,Terraformable ,Hedgea FV-M c8-0
2000-01-10T26,Terraformable ,Rutena
2000-01-10T27,Terraformable ,Col 285 Sector VK-E c12-24
