timestamp,Name_Localised,System
2000-01-07T00,Barnacle,Merope
2000-01-07T01,Barnacle,Pleiades Sector JC-U b3-2
2000-01-07T02,Barnacle,Pleiades Sector IH-V c2-16
2000-01-07T03,Barnacle,California Sector DL-Y d4
2000-01-07T04,Barnacle,California Sector LC-V c2-10
2000-01-07T05,Barnacle,Witch Head Sector LC-V c2-10
2000-01-07T06,Barnacle,Witch Head Sector GW-W c1-4
2000-01-07T07,Barnacle,California Sector BA-A e6
2000-01-07T08,Barnacle,HIP 17225
2000-01-07T09,Barnacle,Pleiades Sector RO-Q b5-0
2000-01-07T10,Barnacle,Witch Head Sector FB-X c1-11
2000-01-07T11,Barnacle,Witch Head Sector HW-W c1-9
2000-01-07T12,Barnacle,Witch Head Sector HW-W c1-8
2000-01-07T13,Barnacle,Witch Head Sector DL-Y d17
2000-01-07T14,Barnacle,Pleiades Sector OI-T c3-7
2000-01-07T15,Barnacle,Witch Head Sector HW-W c1-7
2000-01-07T16,Barnacle,Pleiades Sector IX-S b4-4
2000-01-07T17,Barnacle,Pleiades Sector LN-S b4-3
2000-01-07T18,Barnacle,Pleiades Sector HR-W d1-66
2000-01-07T19,Barnacle,Pleiades Sector KS-S b4-1
2000-01-07T20,Barnacle,Pleiades Sector PI-T c3-9
2000-01-07T21,Barnacle,Pleiades Sector GH-L b8-0
2000-01-07T22,Barnacle,HIP 16171
2000-01-07T23,Barnacle,Hyades Sector AQ-Y d81
2000-01-07T24,Barnacle,Pleione
2000-01-07T25,Barnacle,Pleiades Sector MS-T b3-1
2000-01-07T26,Barnacle,Pleiades Sector PN-T b3-0
2000-01-07T27,Barnacle,California Sector JH-V c2-12
2000-01-07T28,Barnacle,Pleiades Sector HM-V c2-10
2000-01-07T29,Barnacle,Pleiades Sector XE-Q b5-2
2000-01-07T30,Barnacle,HIP 17497
2000-01-07T31,Barnacle,Pleiades Sector SE-P b6-0
2000-01-07T32,Barnacle,Pleiades Sector NN-T c3-15
2000-01-07T33,Barnacle,Pleiades Sector CQ-P b5-0
2000-01-07T34,Barnacle,Pleiades Sector FR-V c2-2
2000-01-07T35,Barnacle,Pleiades Sector FB-X c1-10
2000-01-07T36,Barnacle,Pleiades Sector EH-U b3-2
2000-01-07T37,Barnacle,Pleiades Sector HR-W d1-26
2000-01-07T38,Barnacle,Pleiades Sector PN-S b4-1
2000-01-07T39,Barnacle,Pleiades Sector VF-N b7-0
2000-01-07T40,Barnacle,Pleiades Sector XO-A c9
2000-01-07T41,Barnacle,Pleiades Sector SP-N b7-0
2000-01-07T42,Barnacle,Pleiades Sector UK-N b7-3
2000-01-07T43,Barnacle,Pleiades Sector CL-Y d43
2000-01-07T44,Barnacle,Pleiades Sector LY-Q b5-2
2000-01-07T45,Barnacle,Pleiades Sector XU-P b5-1
2000-01-07T46,Barnacle,Pleiades Sector HM-M b7-1
2000-01-07T47,Barnacle,HIP 14405
2000-01-07T48,Barnacle,Pleiades Sector QJ-Q b5-2
2000-01-07T49,Barnacle,Pleiades Sector CB-N b7-0
2000-01-07T50,Barnacle,Pleiades Sector IR-W d1-37
2000-01-07T51,Barnacle,Pleiades Sector FR-V c2-7
2000-01-07T52,Barnacle,California Sector HR-W d1-28
2000-01-07T53,Barnacle,Pleiades Sector CB-N b7-0
