timestamp,Name_Localised,System
2000-01-08T00,Tube Worms,Wepiae QQ-P c8-454
2000-01-08T01,Tube Worms,Ongaihn EC-D d12-473
2000-01-08T02,Tube Worms,Pru Aed ZZ-F c11-9
2000-01-08T03,Tube Worms,Pru Aed VT-R d4-17
2000-01-08T04,Tube Worms,Pru Aed NR-S b18-1
2000-01-08T05,Tube Worms,Pru Aed VO-N b21-2
2000-01-08T06,Tube Worms,Byoi Aip VA-E d12-143
2000-01-08T07,Tube Worms,Pru Aed KW-M c7-8
2000-01-08T08,Tube Worms,Eorl Auwsy SY-Z d13-1340
2000-01-08T09,Tube Worms,Myriesly SI-B d13-7552
2000-01-08T10,Tube Worms,Nyeajaae VU-H b16-0
2000-01-08T11,Tube Worms,Eidaik OP-V d3-428
2000-01-08T12,Tube Worms,Nyeajaae KY-P d6-126
2000-01-08T13,Tube Worms,Byoomao FU-G c27-300
2000-01-08T14,Tube Worms,Hypio Pri HX-B c16-498
2000-01-08T15,Tube Worms,Eorld Pri OD-Q d6-8705
2000-01-08T16,Tube Worms,Myrielk DH-M d7-4388
2000-01-08T17,Tube Worms,Hypuae Scrua CV-G d10-306
2000-01-08T18,Tube Worms,Shrogaei VP-W d2-2202
2000-01-08T19,Tube Worms,Stuemeae UY-S b3-76
2000-01-08T20,Tube Worms,Juenae HG-P a5-11
2000-01-08T21,Tube Worms,Myriesly JB-F d11-719
2000-01-08T22,Tube Worms,Myriesly DL-F d11-2858
2000-01-08T23,Tube Worms,Myriesly WJ-H d10-8433
2000-01-08T24,Tube Worms,Phroi Pri LC-B d1-6200
2000-01-08T25,Tube Worms,Phroi Pri QX-A d1-7940
2000-01-08T26,Tube Worms,Leamiae CQ-V d3-4666
2000-01-08T27,Tube Worms,Throerdy KH-T c4-34
2000-01-08T28,Tube Worms,Myriesly FC-B c27-1928
2000-01-08T29,Tube Worms,Eok Pruae WF-O d6-4103
2000-01-08T30,Tube Worms,Leamiae GM-L d8-4773
2000-01-08T31,Tube Worms,Ogaiws NJ-F c12-588
2000-01-08T32,Tube Worms,Myriesly TI-K d8-9210
2000-01-08T33,Tube Worms,Screakao JH-U e3-1164
2000-01-08T34,Tube Worms,Myriesly XO-I d9-6689
2000-01-08T35,Tube Worms,Dumbae QA-U d4-2111
2000-01-08T36,Tube Worms,Shrogaei VI-M b54-1
2000-01-08T37,Tube Worms,Myriesly DQ-G d10-1240
2000-01-08T38,Tube Worms,Dryoi Pri MP-D d13-8500
2000-01-08T39,Tube Worms,Shrogaae EV-O d6-2434
2000-01-08T40,Tube Worms,Shrogaae EV-O d6-2534
2000-01-08T41,Tube Worms,Zunuae SW-M c7-4554
2000-01-08T42,Tube Worms,Shrogaae YO-U a4-0
2000-01-08T43,Tube Worms,Shrogaae WF-Z c749
2000-01-08T44,Tube Worms,Shrogaae UU-A c43
